"","asset_bin","n","SCF Employed"
"1",0,13422075.0637782,0.205434028931367
"2",500,9163446.75147828,0.140252813079136
"3",1000,8750314.82102541,0.133929546628171
"4",1500,3783915.88289296,0.0579154177924312
"5",2000,6294569.61541411,0.096342688469474
"6",2500,2429167.67872079,0.0371800709516366
"7",3000,3513804.8995701,0.0537811846504651
"8",3500,1356885.96379813,0.0207680667124063
"9",4000,2098824.63739815,0.0321239450109098
"10",4500,615285.501359545,0.00941736496679717
"11",5000,3165558.8266685,0.0484510405799131
"12",5500,254912.742863596,0.00390161368816491
"13",6000,964800.023954267,0.0147669235265185
"14",6500,214961.029230122,0.00329012541564093
"15",7000,794232.589165223,0.0121562724038941
"16",7500,356878.800803329,0.00546227386904397
"17",8000,616861.677310775,0.00944148941658808
"18",8500,184325.859040256,0.00282123320566616
"19",9000,416361.072343361,0.00637269067377748
"20",9500,83963.2392567721,0.0012851147412516
"21",10000,1477095.94080907,0.0226079625390767
"22",11000,282618.740056287,0.00432567290418105
"23",12000,507866.227583923,0.00777323959186461
"24",13000,105329.066272333,0.0016121333210465
"25",13500,4481151.60850814,0.068587086930578
